Class,DriverID,TaskID,Hour,Minute,Second,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
3,Driver-1,1,15,39,39,-0.4961832061068702,2.511450381679389,0.7022900763358778,0.226806640625,-0.13232421875,-1.010498046875
3,Driver-1,1,15,39,40,-1.519083969465649,2.83206106870229,-1.244274809160305,0.331298828125,-0.145751953125,-0.998291015625
3,Driver-1,1,15,39,41,0.6793893129770993,3.206106870229008,-0.2290076335877863,0.431396484375,-0.209716796875,-1.004150390625
3,Driver-1,1,15,39,42,0.05343511450381679,9.244274809160306,2.893129770992366,0.3701171875,-0.06201171875,-0.901123046875
3,Driver-1,1,15,39,42,-0.6641221374045801,8.030534351145038,0.9618320610687023,0.364990234375,-0.13232421875,-1.001220703125
3,Driver-1,1,15,39,43,3.66412213740458,1.137404580152672,-0.816793893129771,0.19091796875,-0.080810546875,-0.89111328125
3,Driver-1,1,15,39,44,-1.83206106870229,0.01526717557251908,0.4503816793893129,0.00146484375,-0.173828125,-1.040283203125
3,Driver-1,1,15,39,4 4,-4.389312977099237,1.305343511450382,-1.129770992366412,0.26806640625,-0.111572265625,-0.996826171875
3,Driver-1,1,15,39,45,-0.2595419847328244,2.312977099236641,0.05343511450381679,0.345947265625,-0.113525390625,-0.972412109375
3,Driver-1,1,15,39,46,-2.633587786259542,3.091603053435115,4.938931297709924,0.099853515625,0.098876953125,-0.89794921875
3,Driver-1,1,15,39,46,-4.16793893129771,9.412213740458014,24.27480916030534,0.1162109375,0.244140625,-1.12548828125
3,Driver-1,1,15,39,47,-5.045801526717558,-3.297709923664122,37.9236641221374,0.176025390625,0.49560546875,-1.023681640625
3,Driver-1,1,15,39,48,-9.473282442748092,4.824427480916031,40.45801526717558,0.15478515625,0.652099609375,-0.760498046875
3,Driver-1,1,15,39,49,-0.7709923664122137,8.954198473282442,13.42748091603053,0.372802734375,0.000244140625,-0.943359375
3,Driver-1,2,15,40,16,-0.3587786259541985,4.16793893129771,1.137404580152672,0.19384765625,-0.08642578125,-0.98583984375
3,Driver-1,2,15,40,17,4.251908396946565,0.08396946564885496,0.7404580152671756,0.324462890625,-0.19287109375,-0.878662109375
3,Driver-1,2,15,40,17,-0.6564885496183206,3.427480916030534,-0.8778625954198473,0.326904296875,-0.169189453125,-0.94775390625
3,Driver-1,2,15,40,18,-2.053435114503817,2.458015267175572,1.251908396946565,0.3974609375,-0.103515625,-0.98095703125
3,Driver-1,2,15,40,19,0.3053435114503817,-1.129770992366412,0.5648854961832062,0.37060546875,-0.1787109375,-0.954833984375
3,Driver-1,2,15,40,20,0.3282442748091603,0.02290076335877863,-0.6870229007633588,0.184814453125,-0.13818359375,-1.025146484375
3,Driver-1,2,15,40,20,0.3053435114503817,3.770992366412214,1.007633587786259,0.228271484375,-0.26904296875,-1.095458984375
3,Driver-1,2,15,40,21,-1.374045801526718,7.412213740458015,-3.351145038167939,0.392333984375,-0.198486328125,-0.9794921875
3,Driver-1,2,15,40,22,-3.412213740458015,6.610687022900763,0.6793893129770993,0.32861328125,-0.096435546875,-0.835205078125
3,Driver-1,2,15,40,23,-7.045801526717558,1.129770992366412,6.709923664122138,0.246826171875,0.090576171875,-0.83740234375
